%	code	xx	param	BG	SL	CS	PL	UK	RU	LV	ET	FI	SV	DA	DE	NL	EN	HU	RO	FR	ES	PT	TR	AZ	KO	JA	ZH	ZT	VI	TH	
	\langname	Reference		Български	Slovenščina	Čeština	Polski	Українська	Русский	Latviešu	Eesti	Suomi	Svenska	Dansk	Deutsch	Nederlands	English	Magyar	Română	Français	Español (castellano)	Português	Türkçe	Azərbaycanca	한국어	日本語	中文（大陆简体）	中文（臺灣正體）	Tiếng Việt	ภาษาไทย	
	\regmayba	You may bring food and drink, although a packed lunch will be provided for you during the competition.		Можете да си донесете храна и напитки, въпреки че ще Ви бъде предоставен обяд по време на състезанието.	Prineseš lahko hrano in pijačo, vendar bo med tekmovanjem na voljo tudi pakirano kosilo.	Smíte si přinést jídlo a pití, v průběhu soutěže pro vás také bude připravený obědový balíček.	Możesz przynieść jedzenie i picie, chociaż podczas zawodów dostaniesz pakiet żywnościowy.	Ви можете взяти з собою їжу та напої. Зауважте, однак, що під час змагання вам видадуть сухий пайок.	Вы можете принести с собой на соревнование еду и напитки, хотя во время соревнования вам выдадут упакованный обед.	Jūs varat ņemt līdzi ēdienu un dzērienus, lai gan konkursa laikā Jums tiks piedāvātas iesaiņotas pusdienas.	Te võite kaasa võtta süüa ja juua, kuigi teile antakse võistluse ajal pakitud lõuna.	Sinulla voi olla eväänä syötävää ja juotavaa, vaikka kilpailun aikana saat järjestäjiltä myös pakatun lounaspussin.	Du får ta med något att äta och dricka, men en förberedd matsäck kommer att finnas tillgänglig under tävlingen.	Du må medbringe mad og drikke, men du vil få udleveret en frokost under konkurrencen.	Du kannst Speisen und Getränke mitbringen, auch wenn dir während des Wettbewerbs ein Lunchpaket zur Verfügung gestellt wird.	Je mag zelf eten of drinken meenemen, maar je zal ook een verpakte lunch krijgen tijdens de competitie.	You may bring food and drink, although a packed lunch will be provided for you during the competition.	Hozhat magával ételt és italt, bár a verseny során biztosítunk előre csomagolt ebédet.	Puteți aduce mâncare, apă și suc, deși în timpul probei vi se va oferi un pachet de prânz.	Vous pouvez apporter à manger et à boire, mais un panier-repas vous sera fourni pendant l'épreuve.	Puedes traer comida y bebida, aunque se te proporcionará un paquete de almuerzo para llevar durante la competencia.	Você pode trazer comida e bebida, embora um almoço embalado seja fornecido durante a prova.	Yanınızda yiyecek ve içecek getirebilirsiniz, yarışma esnasında paketli bir öğlen yemeği  temin edilecektir.	Özünüzlə yemək və içki gətirə bilərsiniz, müsabiqə zamanı qablaşdırılan nahar təqdim olunacaq.	음식물은 가져와도 되지만, 대회 중에 먹을 점심식사 꾸러미는 제공됩니다.	飲食物は持ち込み可です。競技中に軽食も用意されます。	尽管主办方会在比赛期间为你提供盒装午餐，你依然可以携带食物和饮料。	儘管主辦單位在個人賽時將提供盒裝午餐，您依然可以攜帶食物與飲料入場。			
	\regmaybb	If you bring your own food, please bring only food that can be eaten quietly and neatly and does not have a strong smell, so as not to disturb other contestants.		Ако носите собствена храна, моля, носете само храна, която може да бъде консумирана тихо и спретнато и няма силна или специфична миризма, така че да не притеснявате другите участници.	Če imaš s seboj lastno hrano, naj bo takšna, da jo lahko poješ tiho in brez packanja ali drobljenja ter nima močnega vonja, tako da ne motiš drugih tekmovalcev.	Pokud si s sebou chcete přinést jídlo, vezměte si prosím pouze jídlo, které lze konzumovat tiše a bez velkého nepořádku a které nemá výraznou vůni, abyste nerušili ostatní soutěžící.	Jeśli chcesz przynieść własne jedzenie, weź tylko to, co można zjeść po cichu i utrzymując porządek oraz co nie ma silnego zapachu, żeby nie rozpraszać innych zawodników.	Якщо ви братимете власну їжу, то просимо взяти лише таку, яка їсться тихо й акуратно, а також не має різкого запаху — щоб не заважати іншим учасникам.	Если вы приносите свою еду, пожалуйста, приносите только такую еду, которая не имеет сильного запаха и которую можно съесть тихо и аккуратно, не беспокоя остальных участников.	Ja Jūs ņemat līdzi savu ēdienu, lūdzu, ņemiet līdzi tikai tādu ēdienu, ko var ēst klusi un tīri un kam nav spēcīgas smaržas, lai netraucētu citus dalībniekus.	Kui võtate kaasa oma toidu, palun võtke kaasa ainult sellist toitu, mida saab süüa vaikselt ja puhtalt ning millel ei ole tugevaid lõhnu, et mitte häirida teisi võistlejaid.	Jos tuot omia eväitä, tuo vain miedontuoksuisia tuotteita, joita voi syödä hiljaisesti ja siististi, jotta et häiritse muita osallistujia.	Om du tar med något eget att äta, ta bara med sådant som kan ätas tyst, rent och utan stark doft, så inga andra deltagare störs.	Hvis du medbringer din egen mad, vær venlig kun at medbringe mad, der kan spises stille og ordentligt, og som ikke har en stærk lugt, så du ikke forstyrrer andre deltagere.	Wenn du dein eigenes Essen mitbringst, bringe bitte nur Lebensmittel mit, die ruhig und ordentlich gegessen werden können und keinen starken Geruch haben, um andere Teilnehmerinnen und Teilnehmer nicht zu stören.	Als je je eigen eten meeneemt, zorg ervoor dat je dit geluidloos en netjes kan eten, en ook dat het geen sterke geur heeft. Je mag de andere deelnemers niet verstoren.	If you bring your own food, please bring only food that can be eaten quietly and neatly and does not have a strong smell, so as not to disturb other contestants.	Kérjük, csak olyan ételt hozzon, amit csendben és kulturáltan el tud fogyasztani, valamint aminek nincs erős szaga, hogy ne zavarja versenytársait.	Dacă vă aduceți mâncare, vă rugăm să aveți numai alimente care pot fi consumate în liniște, într-un mod curat, și care nu au un miros puternic, pentru a nu deranja alți concurenți.	Si vous apportez votre propre nourriture, n'apportez que des aliments qui peuvent être mangés en silence et proprement et qui n'ont pas une odeur forte, afin de ne pas déranger les autres participants.	Si traes tu propia comida, trae solo comida que se pueda comer sin ruido, sin ensuciarte y sin olor fuerte, para no molestar a otros participantes.	Se trouxer sua própria comida, traga apenas alimentos que possam ser consumidos em silêncio, sem muita sujeira e que não tenham um cheiro forte, para não incomodar outros participantes.	Eğer kendi yemeğinizi getirecekseniz, lütfen sessizce ve temiz bir şekilde yenilebilen, keskin bir kokusu olmayan bir yemek getirin ki diğer yarışmacılar rahatsız olmasın.	Öz yeməyinizi gətirdiyiniz təqdirdə, digər iştirakçıları narahat etməmək üçün səssiz və təmiz yeyilə bilən, kəskin qoxusu olmayan bir yemək gətirməyiniz xahiş olunur.	개인 음식물을 가져오는 경우, 다른 참가자에게 방해가 되지 않도록 조용하고 깔끔하게 먹을 수 있고 냄새가 많이 나지 않는 음식만 가져오십시오.	食べ物を持ち込む場合は、静かに散らかさずに食べられるものだけにしてください。臭いの強いものや他の選手の迷惑になるものは持ち込まないでください。	如果你自备食物，不要携带会在食用时发出声响，掉屑或者散发强烈气味的食物。这些食物会影响其他参赛者。	若您選擇自己攜帶食物入場，務必記得攜帶食用時不會發出聲響、不會掉屑、不會散發強烈氣味且不影響到其他參賽者的食物。			
	\regmaybc	You may bring with you any medication that you may need during the contest.		Можете да вземете със себе си всякакви медикаменти, от които би могло да имате нужда по време на състезанието.	S seboj lahko imaš zdravila, če jih potrebuješ med tekmovanjem.	Smíte si přinést jakékoli léky, které byste mohli během soutěže potřebovat.	Możesz przynieść wszelkie leki, których możesz potrzebować podczas zawodów.	Ви можете взяти з собою будь-які ліки, які можуть знадобитися вам під час змагання.	Вы можете принести любые лекарства, которые могут вам понадобиться в течение соревнования.	Jūs varat ņemt līdzi jebkādas zāles, kas Jums var būt nepieciešamas sacensību laikā.	Te võite kaasa võtta ravimeid, mida teil võib võistluse ajal vaja minna.	Voit pitää mukanasi kaikkia tarvitsemiasi lääkkeitä.	Du får ta med mediciner som du kan komma att behöva under tävlingen.	Du må medbringe medicin, som du har brug for i løbet af konkurrencen.	Du kannst alle Medikamente mitbringen, die du während des Wettbewerbs benötigst.	Je mag eventuele medicatie meenemen die je tijdens de competitie nodig hebt.	You may bring with you any medication that you may need during the contest.	Bármilyen gyógyszert magával hozhat, amire szüksége lehet a verseny során.	Puteți aduce orice medicament de care aveți nevoie în timpul probei.	Vous pouvez apporter avec vous tout médicament dont vous pourriez avoir besoin pendant l'épreuve.	Puedes traer contigo cualquier medicamento que puedas necesitar durante la competencia.	Você pode trazer qualquer medicamento que possa precisar durante a prova.	Yarışma esnasında ihtiyacınız olabilecek herhangi bir ilacı yanınızda getirebilirsiniz. Eğer özel bir ihtiyacınız varsa, takım lideriniz organizatörleri öncesinde bilgilendirmelidir.	Yarış zamanı sizə lazım ola biləcək istənilən dərmanı gətirə bilərsiniz.	대회 중에 필요할 수 있는 의약품은 가져와도 됩니다.	競技中に必要な薬類は持ち込んで構いません。	你可以携带任何你可能在比赛期间需要的药物。	您可以攜帶任何可能需要的藥物入場。			
	\regmaybd	If you have any special needs, your team leader should notify the organizers beforehand.		Ако имате каквито и да е специфични нужди, Вашият ръководител следва да уведоми организаторите предварително.	Če imaš kakšne posebne potrebe, mora tvoj vodja ekipe o tem vnaprej obvestiti organizatorje.	Máte-li nějaké zvláštní požadavky, váš týmový vedoucí o tom musí organizátory předem informovat.	Jeśli masz jakieś specjalne potrzeby, opiekun Twojej drużyny powinien z wyprzedzeniem powiadomić o nich organizatorów.	Якщо ви маєте якісь особливі потреби, керівник вашої команди повинен заздалегідь попередити про це організаторів.	Если у вас есть особые потребности, руководитель вашей команды должен предупредить организаторов заранее.	Ja Jums ir kādas īpašas vajadzības, Jūsu komandas vadītājam jāinformē organizatori jau iepriekš.	Kui teil on erivajadused, siis peab teie meeskonna juhendaja organiseerijatele sellest ette teatama.	Jos sinulla on muita erityistarpeita, ryhmänjohtajasi tulee ilmoittaa niistä järjestäjille etukäteen.	Om du har några särskilda behov, bör din lagledare informera arrangörerna i förväg.	Hvis du har specielle behov, bør din holdleder gøre dem, der organiserer IOL, opmærksom på dette før konkurrencen.	Wenn du besondere Bedürfnisse hast, sollte deine Teamleitung die Verantwortlichen vorher informieren.	Mocht je speciale wensen hebben, dan moet je teamleider de organisatoren vooraf op te hoogte stellen.	If you have any special needs, your team leader should notify the organizers beforehand.	Ha különleges ellátásra van szüksége, csapatvezetőjének előzetesen értesítenie kell erről a szervezőket.	Dacă aveți nevoi speciale, liderul echipei voastre trebuie să anunțe în prealabil organizatorii.	Si vous avez des besoins particuliers, votre chef d'équipe doit en informer préalablement les organisateurs.	Si tienes alguna necesidad especial, el líder de tu equipo debe notificar a los organizadores de antemano.	E se você tiver alguma necessidade especial, seu líder de equipe deve notificar os organizadores com antecedência.	Yanınızda zamana bakabileceğiniz bir saat veya zaman gösteren bir araç getirebilirsiniz.	Əgər xüsusi ehtiyacınız varsa, komanda rəhbəriniz təşkilatçılara əvvəlcədən məlumat verməlidir.	특수한 의료 지원이 필요한 경우, 여러분의 인솔자가 조직위원회에 미리 알려야 합니다.	特別な支援が必要な場合は引率者が事前に運営に報告してください。	如果你有任何特殊需求，你的领队应当事先通知主办方。	若有任何特殊需求，您的領隊應該事先告知主辦單位。			
	\regmaybe	You may bring a watch or other time-keeping device as long as it (a) is quiet and (b) does not enable contact with the outside world.		Можете да си носите часовник или друг уред за измерване на времето, стига да е (а) тих, и (б) не предоставя каквато и да е връзка с външния свят.	S seboj lahko imaš uro ali kakšno drugo napravo za merjenje časa, pod pogojem, da (a) je neslišna in (b) ne omogoča stika z zunanjim svetom.	Smíte si přinést hodinky nebo jiný přístroj ukazující čas za předpokladu, že (a) je tichý a (b) není možné se pomocí něho spojit s okolním světem.	Możesz przynieść zegarek lub inne urządzenie do pomiaru czasu, pod warunkiem że a) jest ono ciche i b) nie umożliwia połączenia ze światem zewnętrznym.	Ви можете взяти годинник чи інший пристрій для відстеження часу, якщо він (а) тихий і (б) не дає можливості зв'язатися з зовнішнім світом.	Вы можете принести с собой часы, если они (а) тихие, (б) не позволяют выходить на контакт с внешним миром.	Jūs varat ņemt līdzi pulksteni vai citu laika rādīšanas ierīci, ja vien tā ir (a) klusa un (b) nenodrošina kontaktus ar ārpasauli.	Te võite kaasa võtta kella või mõne muu ajajälgimisseadme, kui (a) see on vaikne ja (b) ei võimalda kontakti välismaailmaga.	Sinulla voi olla mukanasi kello, jos se toimii hiljaa eikä sillä saa yhteyttä internetiin tai muuhun verkkoon.	Du får ta med en klocka eller annat redskap för att hålla koll på tiden, så länge den (a) inte ger ifrån sig ljud och (b) inte låter dig kommunicera med omvärlden på något sätt.	Du må medbringe et ur eller et andet apparat til at holde øje med tiden så længe at (a) det er stille og (b) ikke muliggør kontakt med verden udenfor.	Du kannst eine Uhr oder ein anderes Zeitmessgerät mitbringen, solange es (a) ruhig ist und (b) keinen Kontakt zur Außenwelt ermöglicht.	Je mag een horloge of andere klok meenemen zolang deze (a) geluidloos is en (b) je hier geen contact met de buitenwereld mee kan hebben.	You may bring a watch or other time-keeping device as long as it (a) is quiet and (b) does not enable contact with the outside world.	Lehet Önnél karóra vagy már időmérő eszköz, amennyiben az (a) hangtalan és (b) nem tud kapcsolatot teremteni a külvilággal.	Puteți aduce un ceas sau un alt dispozitiv de măsurare a timpului atâta timp cât acesta (a) nu face zgomot și (b) nu permite contactul cu lumea exterioară.	Vous pouvez apporter une montre ou un autre dispositif de chronométrage tant que celui-ci (a) est silencieux et (b) ne permet pas le contact avec le monde extérieur.	Puedes traer un reloj u otro dispositivo de control de tiempo siempre que (a) sea silencioso y (b) no permita el contacto con el mundo exterior.	Você pode trazer um relógio ou outro dispositivo de medida de tempo, desde que: (a) seja silencioso e (b) não permita contato com o mundo exterior.	Getireceğiniz aracın (a) sessiz ve (b) dış dünya ile irtibata geçemeyecek bir araç olmamalıdır.	Saatı yoxlamaq üçün özünüzlə saat və ya vaxt göstərən cihaz gətirə bilərsiniz. Gətirdiyiniz cihaz (a) səssiz və (b) kənar şəxslərlə əlaqə qurma imkanı verməyən qurğu olmalıdır.	시계 등 시간을 확인할 수 있는 장치는 (ㄱ) 조용하고 (ㄴ) 대회장 외부와 연락할 수 있는 기능이 없는 한 허용됩니다.	時計や時間を計る機器は持ち込んでも構いません。ただし （{a}）音の静かなもの、 （{b}）外部との通信が不可能なものにしてください。	你可以携带手表或其他计时设备，只要它 (1) 不会发出声响，并且 (2) 无法联系外界。	您可以攜帶手錶或其他計時裝置入場，只求其： (1) 為靜音； (2) 無法與外界聯繫。			
	\regmaybf	There will be a large clock in the room, so you should not need your own watch.		В залата ще има голям и видим часовник, така че не би трябвало да е необходимо да си носите собствен.	V prostoru bo velika stenska ura, tako da lastne ne potrebuješ.	V soutěžní místnosti budou velké hodiny, není tedy třeba mít vlastní hodinky.	W sali będzie duży zegar, więc nie będziesz potrzebować własnego.	В аудиторії буде великий годинник, тож у вашому власному немає необхідності.	В аудитории будут большие часы, поэтому необходимости в собственных нет.	Telpā būs liels pulkstenis, tāpēc savs pulkstenis Jums nebūs nepieciešams.	Ruumis on ka suur kell, mistõttu teil pole oma kella vaja.	Salissa on iso seinäkello, eikä oma kello siis ole välttämätön.	Det kommer att finnas en stor klocka i skrivsalen, så du bör inte behöva en egen klocka.	Der vil være et stort ur i lokalet, så det bør ikke være nødvendigt med et personligt ur.	Es wird allerdings auch eine große Uhr im Raum sein, so dass du keine eigene Uhr benötigen solltest.	Er zal ook een grote klok in de ruimte hangen, dus in principe heb je geen eigen klok nodig.	There will be a large clock in the room, so you should not need your own watch.	A teremben lesz egy nagy méretű óra, így valószínűleg nem lesz szüksége saját órára.	Cu toate acestea, în sală va fi un ceas care va arăta în mod vizibil ora, deci nu aveți nevoie de ceas propriu.	Il y aura une grande horloge dans la pièce, vous ne devriez donc pas avoir besoin de votre propre montre.	Habrá un gran reloj en el salón, por lo que no deberías necesitar tu propio reloj.	Contudo, haverá um grande relógio na sala, de forma que você não precise do seu próprio.	Yarışma salonunda duvarda büyük bir saat olacaktır, kendi saatinize ihtiyacınız olmayacaktır.	Müsabiqə zalında divarda böyük bir saat asılı olacaq, öz saatınıza ehtiyacınız olmayacaq.	대회장 내에 대형 시계를 비치할 것이므로 개인 시계를 반드시 가져올 필요는 없습니다.	室内には大きな時計がありますので自分の時計が必要になることはありません。	考场会有一个大时钟，所以你不需要自备手表。	在個人賽場地上將會有一臺大時鐘，攜帶自己的手錶入場並非必要。			
	\regnotb	What you MUST NOT bring		Какво НЕ ТРЯБВА да носите	Česa NE SMEŠ imeti s seboj	Co si NESMÍTE brát s sebou	Czego przynieść nie wolno	Що ЗАБОРОНЕНО приносити на змагання	Что НЕЛЬЗЯ приносить с собой	Ko Jūs NEDRĪKSTAT ņemt līdzi	Mida EI TOHI kaasa võtta	Mukaan ei saa ottaa	EJ tillåtet i skrivsalen	Hvad du IKKE MÅ medbringe	Was du NICHT mitbringen darfst	Wat je NIET mee mag nemen	What you MUST NOT bring	Amit TILOS magával hoznia	Ce NU ESTE PERMIS să aduceți	Ce que vous ne devez PAS apporter	Lo que NO DEBES traer	O que você NÃO DEVE trazer	Yanınızda ne getirmemelisiniz?	Özünüzlə nə gətirməməlisiniz?	지참 불가 물품	持ち込んではいけないもの	禁止携带的物品	禁止攜帶的物品			
	\regnotbaz	You must not bring any printed matter (e.g. dictionary).		Не трябва да носите каквито и да е печатни материали (напр. речници).	Ne smeš imeti ničesar tiskanega (npr. slovarja).	Nesmíte u sebe mít žádné tištěné materiály (např. slovníky).	Nie wolno wnosić żadnych materiałów drukowanych (np. słowników).	Заборонено брати з собою будь-які друковані матеріали (наприклад, словник).	Любые печатные материалы (например, словарь).	Jūs nedrīkstat ņemt līdzi jebkādus drukātus materiālus (piemēram, vārdnīcu).	Te ei tohi võtta kaasa midagi trükitut (nt sõnastikku).	Mitään painettua materiaalia (kuten sanakirjoja).	Du får inte ta med dig något tryckt (t ex. lexikon eller uppslagsböcker).	Du må ikke medbringe noget printet materiale (f.eks. ordbog).	Du darfst keine Druckerzeugnisse (z.B. Wörterbuch) mitbringen.	Je mag geen drukwerken meenemen (bijv. woordenboeken).	You must not bring any printed matter (e.g. dictionary).	Nem hozhat magával semmiféle nyomtatott anyagot (például szótárt).	Nu este permis să aduceți niciun material tipărit (de exemplu, un dicționar).	Vous ne devez pas apporter de matériel imprimé (ex. dictionnaire).	No debes traer ningún material impreso (por ejemplo, un diccionario).	Você não deve trazer nenhum material impresso (por exemplo, dicionário).	Yazılı herhangi bir döküman getirmemelisiniz. (örneğin sözlük)	Heç bir yazılı sənəd gətirməməlisiniz (məsələn, lüğət)	사전을 비롯해 모든 인쇄 매체는 절대 반입할 수 없습니다.	印刷物 （辞書など）は持ち込み禁止です。	禁止携带任何印刷品（如：字典）。	禁止攜帶任何印刷品（如字典）。			
	\regnotbax	You are NOT allowed to bring your own paper (even blank) to the contest.		НЯМАТЕ право да носите собствена хартия (дори празна) на състезанието.	Na tekmovanje NE SMEŠ prinesti lastnega papirja (niti praznega). 	Na soutěž si NESMÍTE přinést vlastní papíry (ani čisté).	NIE wolno przynosić własnego papieru (nawet czystego).	Заборонено брати з собою власний папір (навіть чистий).	Любую бумагу, даже чистые листы.	Uz sacensībām nedrīkst ņemt līdzi savu papīru (pat tīru, baltu).	Te ei tohi võistlusele kaasa võtta oma paberit (isegi mitte tühja).	Omaa kirjoituspaperia (edes tyhjänä).	Du får INTE ta med dig eget papper (inte ens blankt) till tävlingen.		Es ist dir NICHT gestattet, dein eigenes Papier (auch unbeschrieben) zum Wettbewerb mitzubringen.	Je mag geen eigen papier meenemen (ook geen onbeschreven papier)	You are NOT allowed to bring your own paper (even blank) to the contest.	Nem hozhat magával saját papírt (üreset sem) a versenyre.	NU este permis să aduceți la competiție propriile foi de hârtie (nici măcar goale).	Vous ne devez pas apporter votre propre papier (même s'il est vierge).	NO debes traer tu propio papel (incluso en blanco) a la competencia.	Não é permitido trazer seus próprios papeis (mesmo que em branco) para a prova.	Yanınızda herhangi bir kağıt getirmeniz (boş kağıt dahil) yasaktır.		대회장에 백지를 포함한 개인 종이를 반입할 수 없습니다.	選手個人の紙は白紙も含めて持ち込み厳禁です。	禁止携带任何纸张，包括空白的纸张。	禁止攜帶任何紙張（含空白紙張）進入考場。			
	\regnotbb	You must not bring any music or other entertainment device, even if equipped with headphones.		Не трябва да носите никакви музикални или други мултимедийни устройства, дори и да са със слушалки.	Ne smeš imeti nobene glasbe ali drugih naprav za zabavo, tudi če je naprava opremljena s slušalkami.	Nesmíte u sebe mít žádné hudební přehrávače nebo jiná zábavní zařízení bez ohledu na to, jestli jsou vybavená sluchátky nebo ne.	Nie wolno wnosić urządzeń muzycznych ani innych służących rozrywce, nawet jeśli mają słuchawki.	Заборонено брати з собою пристрої для відтворення музики чи інших розваг, навіть з навушниками.	Музыкальные и другие развлекательные устройства, даже если к ним подключены наушники.	Jūs nedrīkstat ņemt līdzi jebkādas mūzikas atskaņošanas vai citas izklaides ierīces, pat ja tās ir aprīkotas ar austiņām.	Te ei tohi kaasa võtta muusika- vms meelelahutusseadet, isegi siis, kui see on varustatud kõrvaklappidega.	Musiikki- tai viihdelaitteita, myöskään kuulokkeilla varustettuna.	Du får inte ta med dig mediaspelare eller andra underhållningsenheter, även om du använder hörlurar.	Du må ikke medbringe noget musik eller andet underholdningsapparat, selv hvis det er udstyret med hovedtelefoner.	Du darfst keine Musik oder andere Unterhaltungsgeräte mitbringen, auch wenn diese mit Kopfhörern ausgestattet sind.	Je mag geen muziek of ander entertainmentapparaat meenemen, ook niet met een koptelefoon.	You must not bring any music or other entertainment device, even if equipped with headphones.	Nem hozhat magával zenelejátszót vagy egyéb szórakoztató eszközt, még akkor sem, ha van fejhallgatója.	Nu este permis să aduceți muzică sau un alt dispozitiv de divertisment, chiar dacă acesta este echipat cu căști.	Vous ne devez apporter aucun appareil de divertissement ou de musique, même s'il est équipé d'un casque.	No debes traer dispositivos de entretenimiento o de música, incluso si están equipados con audífonos.	Você não deve trazer dispositivos de entretenimento ou de música, mesmo que equipados com fones de ouvido.	Herhangi bir müzik yada eğlence aygıtı getirmemelisiniz, kulaklıkla dinlemek isteseniz bile.	Qulaqlıqla dinləməyi planlaşdırsanız belə, özünüzlə heç bir musiqi və ya əyləncə cihazı gətirməməlisiniz.	헤드폰 사용 여부와 관계없이 음악 감상이나 다른 오락 기능이 있는 장치는 절대 반입할 수 없습니다.	音楽機器などの娯楽機器はヘッドホンをつけていても持ち込み禁止です。	禁止携带任何音乐设备或其他娱乐设备，包括配有耳机的设备。	禁止攜帶任何音樂或其他娛樂設備，即使配有耳機亦不允許。			
	\regnotbc	Smoking, including e-cigarettes, is not permitted.		Не е позволено пушенето, вкл. на електронни цигари.	Kajenje, tudi e-cigaret, ni dovoljeno.	Kouření včetně elektronických cigaret není dovoleno.	Zabronione jest palenie, w tym e-papierosów.	Протягом змагання заборонено палити, зокрема електронні цигарки.	Курение, в том числе электронных сигарет, запрещено.	Smēķēšana, ieskaitot e-cigaretes, nav atļauta.	Suitsetamine, sh e-sigarettide suitsetamine, on keelatud.	Tupakointi on kielletty (myös sähkötupakka).	Rökning är helt förbjudet. Detta gäller även e-cigaretter.	Rygning, inklusiv af e-cigaret, er ikke tilladt.	Rauchen, einschließlich E-Zigaretten, ist nicht gestattet.	Roken, inclusief e-sigaretten, is verboden.	Smoking, including e-cigarettes, is not permitted.	Dohányozni tilos, beleértve az elektromos cigaretták használatát is.	Nu este permis să fumați, inclusiv țigări electronice.	Il est interdit de fumer, y compris les cigarettes électroniques.	No se permite fumar, incluidos los cigarrillos electrónicos.	Não é permitido fumar, nem mesmo cigarros eletrônicos.	E-sigara dahil sigara içmek yasaktır.	Elektron siqaret də daxil olmaqla siqaret çəkmək qadağandır.	전자 담배를 포함해 흡연은 절대 금지됩니다.	電子タバコも含めて禁煙です。	禁止吸烟，包括电子烟。	禁止吸煙（包括電子煙）。			
	\regnotbd	You must not bring any laptop, tablet, mobile phone, smart watch or any other device which would enable you to contact the outside world or the internet.		Не трябва да носите лаптопи, таблети, мобилни телефони, „смарт“ часовници или каквото и да е друго устройство, което би Ви позволило връзка с външния свят и/или интернет.	Ne smeš imeti prenosnega računalnika, tablice, telefona, pametne ure ali katerekoli druge naprave, ki bi ti omogočala kontakt z zunanjim svetom ali dostop do spleta.	Nesmíte u sebe mít notebook, tablet, mobilní telefon, chytré hodinky, ani jiné zařízení, které umožňuje komunikaci s okolním světem nebo přístup na internet.	Nie wolno wnosić laptopów, tabletów, telefonów komórkowych, smartwatchów ani innych urządzeń, które umożliwiają połączenie ze światem zewnętrznym lub Internetem.	Заборонено брати з собою ноутбуки, планшети, мобільні телефони, розумні годинники та інші пристрої, що дозволяють зв'язуватися з зовнішнім світом чи інтернетом.	Запрещено приносить с собой ноутбуки, планшеты, мобильные телефоны, умные часы и любые другие устройства, дающие возможность связи с внешним миром или интернетом.	Jūs nedrīkstat ņemt līdzi jebkādu klēpjdatoru, planšetdatoru, mobilo tālruni, viedo pulksteni vai citu ierīci, kas ļautu sazināties ar ārpasauli vai internetu.	Te ei tohi kaasa võtta sülearvutit, tahvelarvutit, mobiili, nutikella või muud seadet, mis võimaldaks teil kontakteeruda välismaailmaga või pääseda internetti.	Kannettavaa tietokonetta, tablettia, kännykkää, älykelloa tai mitään muuta laitetta, jolla saa yhteyden ulkomaailmaan tai internetiin.	Du får inte ta med dig laptop, surfplatta, mobiltelefon, smartklocka eller någon annan enhet som låter dig kommunicera med internet eller omvärlden.	Du må ikke medbringe nogen bærbarcomputer, tablet, mobiltelefon, smart-watch eller noget andet apparat som muliggør kontakt med verden udenfor eller internettet.	Du darfst keinen Laptop, kein Tablett, kein Handy, keine Smartwatch oder anderes Gerät mitbringen, das dich ermöglicht, die Außenwelt oder das Internet zu kontaktieren.	Je mag geen laptop, tablet, telefoon, smart horloge of ander apparaat meenemen waarmee je contact met de buitenwereld of het internet hebt.	You must not bring any laptop, tablet, mobile phone, smart watch or any other device which would enable you to contact the outside world or the internet.	Nem hozhat magával laptopot, tabletet, mobiltelefont, okosórát vagy más eszközt, amivel kapcsolatot tud létesíteni a külvilággal vagy el tudja érni az internetet.	Nu este permis să aduceți laptopul, tableta, telefonul mobil, smartwatch-ul sau orice altceva care facilitează contactul cu lumea exterioară sau navigarea pe internet.	Vous ne devez apporter aucun ordinateur portable, tablette, téléphone portable, montre intelligente ou autre appareil vous permettant de contacter le monde extérieur ou accéder à Internet.	No debes traer ninguna computadora portátil, tableta, teléfono móvil, reloj inteligente o cualquier otro dispositivo que te permita comunicarse con el mundo exterior o con Internet.	Você não deve trazer laptop, tablet, celular, smart watch ou qualquer outro dispositivo que permita entrar em contato com o mundo exterior ou acessar a internet.	Yanınızda dış dünya ile bağlantı kurabileceğiniz laptop bilgisayar, tablet, cep telefonu, akıllı saat veya benzer herhangi bir aygıt getirmeniz yasaktır.	Kənar aləmlə əlaqə saxlaya biləcəyiniz noutbuk, planşet, cib telefonu, ağıllı saat və ya bənzər hər hansı cihaz gətirmək qadağandır.	노트북 컴퓨터, 태블릿 PC, 휴대전화, 스마트워치 등 대회장 외부와 연락 혹은 인터넷 접속이 가능한 장치는 절대 반입할 수 없습니다.	パソコン、タブレット、携帯電話、スマートウォッチ、その他の外部やインターネットに接続できる機器は持ち込み禁止です。	禁止携带任何笔记本电脑、平板电脑、手机、智能手表或任何其他能联系外界或上网的设备。	禁止攜帶任何筆記型電腦、平板、行動電話、智慧手錶或是任何可以與外界聯繫或上網的裝置。			
